Marque,Modèle dossier,Modèle commercial,Désignation commerciale,CNIT,Type Variante Version (TVV),Carburant,Hybride,Puissance administrative,Puissance maximale,Boîte de vitesse,Consommation urbaine,Consommation extra-urbaine,Consommation mixte,CO2,CO type I,HC,NOx,HC+NOx,Particules,Masse vide euro min,Masse vide euro max,Champ v9,Année,Carrosserie,Gamme
Brand,Catalogue Name,car modele name,Commercial designation,CNIT,Type Variant Version (TVV),Fuel,Hybrid,Fiscal power,Horse power,Gearbox,Consumption,extra urban Consumption,mix Consumption,,,,,,,,,,year,,
MERCEDES,CLASSE C,C 250,C 250 BLUETEC 4MATIC BVA7 FAP,M10MCDVPLX3A485,204KR204P1NRAAA513,Diesel,Non hybride,11,150,A 7,6,4.6,5.1,134,0.179,,0.05,0.063,0.001,1710,1710,715/2007*136/2014EURO6,2015,,
MERCEDES,CLASSE C,C 250,C 250 BLUETEC 4MATIC BVA7 FAP,M10MCDVPPT91639,204KR204P1NRAAA562,Diesel,Non hybride,11,150,A 7,5.9,4.6,5.1,133,0.179,,0.05,0.063,0.001,1710,1710,715/2007*136/2014EURO6,2015,,
MERCEDES,CLASSE C,C 250,C 250 BLUETEC 4MATIC BVA7 FAP,M10MCDVPPT97645,204KR204P1NRAAB512,Diesel,Non hybride,11,150,A 7,5.9,4.6,5.1,133,0.179,,0.05,0.063,0.001,1710,1710,715/2007*136/2014EURO6,2015,,
MERCEDES,CLASSE C,C 250,C 250 BLUETEC 4MATIC BVA7 FAP,M10MCDVPLX36517,204KR204P1NRAAB574,Diesel,Non hybride,11,150,A 7,6,4.7,5.2,137,0.179,,0.05,0.063,0.001,1710,1710,715/2007*136/2014EURO6,2015,,
MERCEDES,CLASSE C,C 250,C 250 BVA7,M10MCDVPPU0J082,204KR236P0NZAAB552,Essence,Non hybride,12,155,A 7,7.6,5.1,6,140,0.271,0.039,0.03,,0.001,1545,1545,715/2007*136/2014EURO6,2015,,
MERCEDES,CLASSE C,C 250,C 250 BVA7,M10MCDVPLX36808,204KR236P0NZAAB560,Essence,Non hybride,12,155,A 7,7.1,4.7,5.6,130,0.353,0.042,0.026,,0.001,1545,1545,715/2007*136/2014EURO6,2015,,
MERCEDES,CLASSE C,C 250,C 250 BLUETEC BERLINE BVA7,M10MCDVPKA1U107,204R004P0NZAAA503,Diesel,Non hybride,11,150,A 7,5.4,3.8,4.4,113,0.179,,0.055,0.064,0.001,1575,1575,715/2007*195/2013EURO6,2015,,
MERCEDES,CLASSE C,C 250,C 250 BLUETEC BERLINE BVA7,M10MCDVPKL30233,204R004P0NZAAA511,Diesel,Non hybride,11,150,A 7,5.4,3.7,4.4,110,0.182,,0.056,0.069,0.001,1595,1595,715/2007*136/2014EURO6,2015,,
MERCEDES,CLASSE C,C 250,C 250 BLUETEC BERLINE BVA7,M10MCDVPKL33236,204R004P0NZAAA520,Diesel,Non hybride,11,150,A 7,5.3,3.6,4.3,109,0.182,,0.056,0.069,0.001,1595,1595,715/2007*136/2014EURO6,2015,,
MERCEDES,CLASSE C,C 250,C 250 BLUETEC BERLINE BVA7,M10MCDVPPW7U437,204R004P0NZAAA522,Diesel,Non hybride,11,150,A 7,5.5,3.9,4.5,117,0.182,,0.056,0.069,0.001,1595,1595,715/2007*136/2014EURO6,2015,,
MERCEDES,CLASSE C,C 250,C 250 BLUETEC BERLINE BVA7,M10MCDVPKL35238,204R004P0NZAAA523,Diesel,Non hybride,11,150,A 7,5.4,3.8,4.4,113,0.182,,0.056,0.069,0.001,1595,1595,715/2007*136/2014EURO6,2015,,
